External Library Name;Link to License;License Name;Copyright Notice Included (Yes/No);Source Code Included (Yes/No);Counsel LDAP and Authorization Date;repository_type;repository_URL;is_runtime;license_category
project-oak.oak;https://raw.githubusercontent.com/project-oak/oak/main/LICENSE;Apache License 2.0;Yes;No;N/A;github;https://github.com/project-oak/oak;NOT_KNOWN;notice
prost-0.14.3;https://raw.githubusercontent.com/tokio-rs/prost/v0.14.3/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/tokio-rs/prost;NOT_KNOWN;notice
prost-build-0.14.3;https://raw.githubusercontent.com/tokio-rs/prost/v0.14.3/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/tokio-rs/prost;NOT_KNOWN;notice
prost-derive-0.14.3;https://raw.githubusercontent.com/tokio-rs/prost/v0.14.3/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/tokio-rs/prost;NOT_KNOWN;notice
prost-reflect-0.16.3;https://raw.githubusercontent.com/andrewhickman/prost-reflect/prost-reflect-v0.16.3/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/andrewhickman/prost-reflect;NOT_KNOWN;notice
prost-types-0.14.3;https://raw.githubusercontent.com/tokio-rs/prost/v0.14.3/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/tokio-rs/prost;NOT_KNOWN;notice
protoc-gen-prost-0.5.0;https://raw.githubusercontent.com/neoeinstein/protoc-gen-prost/protoc-gen-prost-v0.5.0/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/neoeinstein/protoc-gen-prost;NOT_KNOWN;notice
protoc-gen-tonic-0.5.0;https://raw.githubusercontent.com/neoeinstein/protoc-gen-prost/protoc-gen-tonic-v0.5.0/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/neoeinstein/protoc-gen-prost;NOT_KNOWN;notice
protocolbuffers.protobuf-31.1;https://raw.githubusercontent.com/protocolbuffers/protobuf/v31.1/LICENSE;Other;Yes;No;N/A;github;https://github.com/protocolbuffers/protobuf;NOT_KNOWN;notice
quick-error-2.0.1;https://raw.githubusercontent.com/tailhook/quick-error/v2.0.1/LICENSE-APACHE;MIT/Apache-2.0;Yes;No;N/A;crates|github;http://github.com/tailhook/quick-error;NOT_KNOWN;notice
